timestamp,open,high,low,close,volume
2012-02-17,23.0100,23.3100,22.5400,23.1800,18086900
2012-02-10,23.6000,25.8600,22.6600,22.8800,26965000
2012-02-03,24.1500,24.1800,23.1700,23.6400,19009400
2012-01-27,24.5500,25.0000,22.6500,24.3200,15369600
2012-01-20,23.7500,25.0000,23.1000,24.5500,11256300
2012-01-13,24.6600,24.7000,23.2200,23.5100,21578300
2012-01-06,24.4300,25.2800,23.6900,24.8700,12115000
2011-12-30,23.8700,24.3700,23.5800,24.1300,5346800
2011-12-23,23.4600,24.0750,22.6400,23.9200,8571400
2011-12-16,24.0900,24.7500,23.1800,23.3400,17832400
2011-12-09,23.4500,24.3100,23.1300,24.2000,14928700
2011-12-02,22.0400,23.8500,22.0400,23.2200,16091500
2011-11-25,22.0700,22.9400,21.4600,21.5100,14974800
2011-11-18,24.8400,24.8400,21.7500,22.4600,34956600
2011-11-11,25.7100,25.7800,24.4200,25.1700,11574900
2011-11-04,26.0200,26.1400,24.5200,25.6900,16476000
2011-10-28,25.1300,26.6600,24.8600,26.2000,18500700
2011-10-21,25.1400,25.9000,23.8300,25.0400,19025000
2011-10-14,24.6700,26.0700,24.2800,25.1600,17683300
2011-10-07,23.0000,24.6400,22.1600,24.3300,19610300
2011-09-30,22.7100,24.5200,22.6400,23.1000,12740200
2011-09-23,24.3800,24.4950,22.3000,22.5100,15413000
2011-09-16,22.8850,25.0800,22.5100,24.8900,18607200
2011-09-09,21.5700,23.4200,21.5700,23.1300,13566900
2011-09-02,22.9400,24.0500,22.1100,22.1500,17154200
2011-08-26,21.9700,23.6200,21.0200,22.7800,22606200
2011-08-19,20.7800,22.9300,18.3400,21.5700,34768200
2011-08-12,21.6400,21.7800,20.2200,20.7200,21626700
2011-08-05,23.8100,23.8200,21.5000,22.1300,26371000
2011-07-29,23.2000,23.9600,23.1000,23.5800,17234200
2011-07-22,23.6500,24.0600,23.0100,23.4700,19758000
2011-07-15,26.5600,26.7500,23.4000,23.5900,30000600
2011-07-08,27.3300,27.8000,26.5900,26.8500,12238700
2011-07-01,26.0600,27.0200,25.7000,26.9300,16231000
2011-06-24,26.3400,27.5400,25.8900,26.1200,14750200
2011-06-17,26.3800,26.5700,25.9600,26.4400,14688900
2011-06-10,26.7300,27.0200,25.6500,26.2600,14719300
2011-06-03,28.3100,28.4800,26.3000,26.7300,14945000
2011-05-27,27.6400,28.6600,26.9100,28.2100,20389700
2011-05-20,26.7100,28.2200,24.5500,27.8800,32614000
2011-05-13,25.4900,27.6900,25.2800,26.7200,14691300
2011-05-06,26.1600,26.4700,25.3600,25.4600,16940200
2011-04-29,26.5100,26.6200,25.6100,25.6800,20799000
2011-04-21,26.2100,26.9400,25.6300,26.5400,24633900
2011-04-15,23.7400,26.4800,23.5500,26.4000,45447600
2011-04-08,22.9200,24.4100,22.4700,23.8100,23043700
2011-04-01,21.8000,23.0300,21.8000,22.9200,18537300
2011-03-25,21.1100,22.4000,20.6900,21.7200,24410300
2011-03-18,19.6500,21.3100,19.4200,20.9600,26108800
2011-03-11,20.1200,20.2800,19.4500,19.7700,18039500
2011-03-04,20.0000,20.1700,19.6100,20.0500,14577600
2011-02-25,19.9900,20.0300,19.4500,19.8500,15670700
2011-02-18,19.6700,20.5800,19.5550,19.9500,20332100
2011-02-11,20.1400,20.6800,19.5100,20.2800,22166000
2011-02-04,21.0900,21.1800,19.1900,20.0500,26396000
2011-01-28,20.8400,21.2500,20.4850,20.9800,14379200
2011-01-21,20.4200,21.2100,20.1200,20.9000,15991400
2011-01-14,20.6500,21.0000,20.1100,20.3700,20568700
2011-01-07,23.0700,23.2300,20.1805,20.7700,28362600
2010-12-31,22.1300,23.0000,22.0800,22.8800,10541800
2010-12-23,21.7900,22.3100,21.2300,22.2200,9789100
2010-12-17,22.3600,22.3600,21.3000,21.6700,16145400
2010-12-10,21.3200,22.2700,21.0200,22.2400,14307200
2010-12-03,20.3800,21.4050,19.8900,21.3300,19262100
2010-11-26,20.1100,20.7300,20.0390,20.5000,8549800
2010-11-19,20.9500,22.1250,19.9000,20.1200,34406300
2010-11-12,20.0100,21.2000,19.7600,20.8300,22162500
2010-11-05,19.7400,20.3600,19.1600,19.9900,13146600
2010-10-29,19.2500,19.6600,19.0000,19.6500,13102300
2010-10-22,18.4300,19.1600,17.9300,19.1300,24685200
2010-10-15,20.0800,20.3900,18.2000,18.3200,26320500
2010-10-08,19.8700,20.5900,19.6200,20.0800,11796300
2010-10-01,20.0400,20.0500,19.3600,20.0000,10795800
2010-09-24,19.4800,20.0400,19.2900,19.9200,15547000
2010-09-17,18.4500,20.2000,18.3600,19.3700,23787000
2010-09-10,18.9600,18.9700,18.2200,18.2500,8921400
2010-09-03,18.1700,19.0950,17.7000,19.0100,13950500
2010-08-27,18.9300,18.9900,17.9000,18.3300,16391000
2010-08-20,19.4700,20.8700,18.5600,18.8100,23004200
2010-08-13,21.1600,21.4000,19.4400,19.5700,17537100
2010-08-06,20.2300,21.4900,20.2300,20.9700,15482300
2010-07-30,20.4400,21.0100,19.4000,20.0500,13916100
2010-07-23,18.9900,20.5000,18.9900,20.5000,17261200
2010-07-16,19.0000,19.8600,18.8300,18.9500,18632400
2010-07-09,18.4000,19.1900,18.2500,19.0300,15150400
2010-07-02,18.3200,19.3300,17.9600,18.2700,35738800
2010-06-25,19.5200,19.5200,18.1500,18.5100,25693100
2010-06-18,21.7000,22.1700,19.1000,19.2100,48597800
2010-06-11,21.7800,22.0400,20.5000,21.6600,23170500
